01/01/16 | 10:02:44 | cb491128 | lister_boites nkambou_r
01/01/16 | 10:02:57 | cb491128 | confirmer_remise nkambou_r INF2160-TP2 PIRV11026606
01/01/16 | 10:03:07 | cb491128 | lister_boites nkambou_r
01/01/16 | 10:03:18 | cb491128 | confirmer_remise nkambou_r Atelier12 PIRV11026606
01/01/16 | 10:03:22 | cb491128 | lister_boites nkambou_r
01/01/16 | 10:03:27 | cb491128 | confirmer_remise nkambou_r INF2160-TP1 PIRV11026606
01/01/16 | 10:03:27 | cb491128 | lister_boites nkambou_r
01/01/16 | 10:03:44 | cb491128 | confirmer_remise nkambou_r INF2160-TP2 PIRV11026606
01/01/16 | 10:03:44 | cb491128 | confirmer_remise nkambou_r INF2160-TP2 PIRV11026606
01/01/16 | 10:04:15 | cb491128 | lister_boites nkambou_r
01/01/16 | 10:04:21 | cb491128 | confirmer_remise nkambou_r Atelier7 PIRV11026606
04/01/16 | 11:27:44 | laforest_l | lister_boites laforest_l
04/01/16 | 11:27:53 | laforest_l | prendre_tp INF4100
04/01/16 | 11:44:31 | laforest_l | lister_boites laforest_l
04/01/16 | 11:44:33 | laforest_l | decrire_boite INF4100
04/01/16 | 11:44:41 | laforest_l | lister_boites laforest_l
04/01/16 | 11:44:47 | laforest_l | detruire_boite INF4100
04/01/16 | 11:44:51 | laforest_l | lister_boites laforest_l
05/01/16 | 14:49:42 | descheneauxc | lister_boites descheneauxc
08/01/16 | 14:47:10 | testeur  | lister_boites tremblay_gu
08/01/16 | 14:47:25 | testeur  | rendre_tp tremblay_gu INF5171 TREG05065801 .tmpOtoWeb/enonce.tex
08/01/16 | 14:47:25 | testeur  | confirmer_remise tremblay_gu INF5171 TREG05065801
08/01/16 | 14:47:28 | testeur  | lister_boites tremblay_gu
08/01/16 | 14:47:30 | testeur  | confirmer_remise tremblay_gu INF5171 TREG05065801
08/01/16 | 14:47:46 | tremblay_gu | lister_boites tremblay_gu
08/01/16 | 14:47:48 | tremblay_gu | prendre_tp INF5171
08/01/16 | 14:50:51 | tremblay_gu | lister_boites tremblay_gu
08/01/16 | 14:50:56 | tremblay_gu | detruire_boite INF5171
